Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26681;Appartement;3;RUE;DU JOUR;0;5033;75108
26682;Appartement;41;RUE;DU COLISEE;0;2185;75103
26683;Appartement;19;RUE;BERANGER;0;871;75108
26684;Appartement;46;RUE;DE TURENNE;0;9506;75108
26685;Appartement;1;RUE;DES INNOCENTS;0;4718;75103
26686;Appartement;18;RUE;DE LA GRANDE TRUANDERIE;0;4278;75101
26687;Appartement;6;RUE;CHARLES-FRANCOIS DUPUIS;0;3015;75101
26688;Appartement;24;RUE;CHARLOT;0;1880;75103
26689;Appartement;12;RUE;BEAUJON;0;779;75103
26690;Appartement;14;RUE;DE LA PEPINIERE;0;7239;75108
26691;Appartement;56;RUE;DU ROCHER;0;8291;75108
26692;Appartement;86;RUE;LA BOETIE;0;5194;75108
26693;Appartement;74;RUE;DE TURENNE;0;9506;75103
26694;Appartement;4;AV;HOCHE;1;4645;75101
26695;Appartement;37;RUE;DE POITOU;0;7572;75103
26696;Appartement;4;RUE;DE MOSCOU;0;6573;75103
26697;Appartement;170;RUE;DU TEMPLE;0;9191;75103
26698;Appartement;50;RUE;VOLTA;0;9905;75108
26699;Appartement;14;RUE;LINCOLN;0;5692;75108
26700;Appartement;62;RUE;JEAN JACQUES ROUSSEAU;0;4901;75103
26701;Appartement;38;RUE;DE LABORDE;0;5200;75106
26702;Appartement;25;RUE;DU MONT THABOR;0;6537;75106
26703;Appartement;27;RUE;CAMBACERES;0;1443;75106
26704;Appartement;14;RUE;FROISSART;0;3875;75106
26705;Appartement;5;RUE;ROBERT ESTIENNE;0;8256;75106
26706;Appartement;99;RUE;QUINCAMPOIX;0;7970;75106
26707;Appartement;23;BD;DES BATIGNOLLES;15;719;75106
26708;Appartement;14;RUE;DE L ARCADE;0;411;75107
26709;Appartement;9;RUE;DU GRAND VENEUR;0;4290;75106
26710;Appartement;1;RUE;PERREE;0;7281;75106
26711;Appartement;53;RUE;AU MAIRE;0;5927;75105
26712;Appartement;32;RUE;DE CONSTANTINOPLE;0;2289;75106
26713;Appartement;73;AV;FRANKLIN D ROOSEVELT;1;3824;75105
26714;Appartement;169;RUE;DU TEMPLE;0;9191;75106
26715;Appartement;4;PAS;SAINTE AVOIE;35;8540;75107
26716;Appartement;11;RUE;BERTIN POIREE;0;920;75106
26717;Appartement;37;BD;SAINT MARTIN;15;8692;75107
26718;Appartement;93;RUE;DU FAUBOURG SAINT HONORE;0;3518;75105
26719;Appartement;41;RUE;NOTRE DAME DE NAZARETH;0;6834;75107
26720;Appartement;13;RUE;COMMINES;0;2249;75105
26721;Appartement;98;RUE;DE MIROMESNIL;0;6387;75106
26722;Appartement;13;RUE;DE TURIN;0;9510;75106
26723;Appartement;9;RUE;DU CHEVALIER DE ST-GEORGE;0;1993;75106
26724;Appartement;97;RUE;BEAUBOURG;0;759;75107
26725;Appartement;6;RUE;DU FOIN;0;3698;75105
26726;Appartement;26;RUE;MONTORGUEIL;0;6520;75106
26727;Appartement;4;RUE;DES FILLES DU CALVAIRE;0;3643;75107
26728;Appartement;4;RUE;COMMINES;0;2249;75107
26729;Appartement;6;RUE;SAINTE ANASTASE;0;8531;75107
26730;Appartement;42;RUE;DE LABORDE;0;5200;75107
26731;Appartement;168;RUE;DU TEMPLE;0;9191;75106
26732;Appartement;4;RUE;QUENTIN BAUCHART;0;7954;75106
26733;Appartement;66;RUE;SAINT HONORE;0;8635;75107
26734;Appartement;23;RUE;DE BERNE;0;900;75107
26735;Appartement;60;RUE;DU ROCHER;0;8291;75105
26736;Appartement;140;RUE;DE RIVOLI;0;8249;75106
26737;Appartement;87;BD;DE COURCELLES;15;2386;75107
26738;Appartement;62;RUE;DE MONCEAU;0;6419;75106
26739;Appartement;5;RUE;PORTEFOIN;0;7729;75107
